ID-2996,5,3,1,17,1,5.56,0
ID-2966,2,3,1,0,0,4.42,0
ID-2032,1,5,0,2,0,4.42,0
ID-1158,12,0,1,6,0,5.07,0
ID-2888,5,9,1,12,0,5.34,0
ID-2980,7,11,1,25,0,6.31,0
ID-1038,20,0,0,5,1,5.16,0
ID-1170,10,0,0,8,1,4.85,0
ID-1236,11,2,0,0,0,5.11,0
ID-1058,8,5,0,3,0,5.06,0
ID-1080,10,0,0,7,0,4.72,0
ID-2862,8,2,0,4,0,4.8,0
ID-1172,4,1,0,3,0,4.64,0
ID-2838,4,7,1,5,1,5.07,0
ID-2866,2,3,0,2,1,4.25,0
ID-2858,1,1,0,4,0,3.47,0
ID-1186,7,0,0,2,1,4.44,0
ID-2904,2,1,0,1,0,3.81,0
ID-1218,9,0,0,0,0,4.51,0
ID-2854,0,2,1,1,0,3.09,0
ID-2882,1,7,0,1,0,4.51,0
ID-1260,9,0,0,5,0,4.84,0
ID-1220,24,2,0,21,1,6.18,0
ID-2852,3,11,1,13,0,5.4,0
ID-1068,7,0,0,2,0,4.68,0
ID-1176,12,2,0,9,1,4.92,0
ID-2944,1,7,0,2,0,4.03,0
ID-1048,5,0,0,1,0,3.26,0
ID-1086,2,0,0,1,0,3.4,0
ID-1214,13,0,1,3,0,4.45,0
ID-2938,4,13,1,10,0,5.48,0
ID-2020,1,3,0,3,0,4.68,0
ID-2936,2,2,0,5,0,4.39,0
ID-2798,6,4,1,6,0,4.9,0
ID-1148,8,0,0,5,0,4.45,0
ID-2846,2,4,0,1,0,4.8,0
ID-1040,16,1,1,1,0,5.04,0
ID-1050,14,1,0,2,1,4.95,0
ID-1250,4,0,0,5,1,3.93,0
ID-1140,13,1,0,0,0,4.62,0
ID-2926,2,4,0,3,0,4.29,0
ID-2878,3,3,1,2,0,4.81,0
ID-1240,11,3,1,11,0,5.47,0
ID-2892,2,3,0,1,1,4.2,0
ID-2832,10,1,0,5,0,4.6,0
ID-1070,6,0,0,1,0,3.91,0
ID-1090,12,0,0,1,0,4.66,0
ID-1198,7,0,0,0,0,4.25,0
ID-2816,10,7,1,2,0,5.4,0
ID-2864,5,2,0,0,0,3.76,0
